id,cliente_id,data_inicio,status_contrato
1,1,2025-10-10,True
2,1,2025-04-26,True
3,1,2025-09-12,True
4,2,2024-07-23,True
5,2,2024-11-26,True
6,2,2025-10-29,True
7,3,2024-05-26,True
8,3,2025-07-13,True
9,3,2024-02-14,True
10,4,2024-10-30,True
11,5,2025-08-22,True
12,6,2025-04-23,True
13,6,2025-02-22,True
14,7,2025-10-25,True
15,7,2025-02-14,True
16,8,2024-10-19,True
17,9,2025-11-13,True
18,9,2024-04-29,True
19,10,2024-06-20,True
20,10,2025-11-22,True
21,11,2025-04-11,False
22,12,2025-10-21,True
23,13,2024-04-22,False
24,13,2025-08-19,True
25,14,2024-03-17,True
26,15,2024-04-09,True
27,15,2024-04-22,True
28,15,2025-05-27,True
29,16,2025-05-01,False
30,16,2024-04-17,True
31,17,2024-03-02,True
32,18,2025-06-12,False
33,19,2024-12-18,True
34,19,2025-06-30,False
35,20,2025-03-16,True
36,20,2024-09-08,True
37,20,2024-04-14,True
38,21,2025-09-12,True
39,21,2024-07-07,True
40,22,2024-06-13,True
41,22,2024-06-14,True
42,22,2025-06-22,False
43,23,2024-08-29,True
44,24,2025-10-12,True
45,25,2024-03-07,True
46,26,2025-01-03,True
47,27,2024-08-09,True
48,27,2024-07-15,False
49,28,2024-03-07,True
50,29,2024-08-01,True
51,29,2024-04-16,True
52,29,2025-04-07,True
53,30,2026-01-29,False
54,30,2025-05-08,False
55,31,2024-08-31,False
56,32,2025-04-02,False
57,32,2024-08-31,True
58,32,2025-08-29,True
59,33,2024-07-29,False
60,34,2026-02-01,True
61,34,2024-09-19,True
62,34,2025-01-26,False
63,35,2025-06-01,True
64,35,2024-07-01,False
65,36,2024-09-22,False
66,37,2025-09-26,True
67,37,2024-10-03,False
68,37,2025-08-16,True
69,38,2024-11-25,False
70,38,2024-07-29,True
71,38,2024-02-26,True
72,39,2024-12-20,False
73,39,2024-04-07,True
74,40,2024-10-27,True
75,40,2025-06-16,True
76,40,2026-01-11,True
77,41,2024-06-09,True
78,42,2024-02-08,True
79,43,2025-11-24,False
80,44,2025-11-21,True
81,44,2025-04-22,True
82,45,2024-07-29,True
83,46,2024-06-21,True
84,46,2024-10-05,False
85,46,2025-07-22,True
86,47,2024-11-17,True
87,47,2024-12-08,True
88,47,2025-12-08,True
89,48,2025-10-24,True
90,48,2025-02-19,False
91,48,2025-10-13,True
92,49,2024-08-01,True
93,50,2025-07-29,True
94,50,2025-05-22,False
95,51,2024-11-05,False
96,52,2025-10-24,True
97,52,2024-07-28,False
98,52,2025-10-29,False
99,53,2025-08-15,True
100,54,2025-06-28,False
101,54,2025-12-03,True
102,55,2024-12-29,True
103,56,2025-04-15,True
104,56,2024-07-12,True
105,57,2025-08-27,True
106,57,2025-06-24,False
107,58,2024-07-26,True
108,58,2025-03-17,True
109,58,2024-06-13,True
110,59,2025-08-24,True
111,59,2024-08-30,True
112,59,2025-07-26,True
113,60,2024-03-12,False
114,61,2025-10-02,False
115,61,2024-06-28,True
116,62,2025-12-23,True
117,62,2024-11-29,True
118,62,2024-07-03,True
119,63,2025-07-07,True
120,63,2025-03-17,True
121,64,2025-09-20,True
122,64,2025-03-31,True
123,65,2026-01-23,True
124,66,2025-10-22,True
125,66,2025-06-28,True
126,66,2025-09-19,False
127,67,2025-05-27,True
128,68,2024-11-10,False
129,69,2025-03-29,True
130,69,2024-04-03,True
131,69,2024-03-20,False
132,70,2024-03-24,True
133,70,2025-09-17,True
134,71,2024-07-15,True
135,72,2024-05-23,True
136,72,2025-02-15,True
137,73,2025-05-07,True
138,73,2025-05-20,False
139,73,2025-12-11,True
140,74,2025-04-24,True
141,74,2025-02-25,True
142,75,2025-05-09,True
143,75,2024-11-06,True
144,75,2024-11-21,True
145,76,2025-11-16,False
146,77,2025-09-02,True
147,77,2025-01-19,True
148,77,2025-09-03,True
149,78,2025-03-23,True
150,79,2025-01-31,True
151,80,2024-03-21,True
152,81,2024-12-12,False
153,81,2025-08-27,False
154,81,2025-06-04,False
155,82,2024-12-06,True
156,83,2025-02-26,True
157,83,2024-12-07,False
158,83,2025-05-23,True
159,84,2025-10-14,True
160,84,2025-12-24,False
161,84,2025-06-19,True
162,85,2025-02-08,True
163,85,2025-06-13,True
164,86,2025-07-19,True
165,86,2025-04-22,False
166,86,2025-04-22,True
167,87,2024-12-19,True
168,87,2024-08-01,True
169,87,2026-01-04,True
170,88,2025-08-03,True
171,88,2025-05-06,True
172,89,2024-11-14,True
173,89,2025-03-17,True
174,89,2024-08-27,True
175,90,2025-07-22,True
176,90,2024-02-07,True
177,90,2024-08-18,False
178,91,2024-02-29,True
179,91,2024-03-17,True
180,91,2024-11-17,True
181,92,2025-02-28,True
182,92,2024-03-24,False
183,92,2025-03-31,True
184,93,2024-12-10,True
185,93,2024-02-19,True
186,93,2025-09-24,True
187,94,2025-01-09,True
188,94,2025-08-07,True
189,94,2025-03-30,True
190,95,2025-03-27,True
191,96,2024-06-18,True
192,96,2025-03-09,True
193,97,2024-03-12,True
194,97,2024-10-05,True
195,98,2025-08-12,True
196,98,2025-04-17,True
197,98,2024-04-24,True
198,99,2025-06-06,True
199,100,2025-07-13,True
