id,contrato_id,data_leitura,valor_kwh
1,1,2025-10-10,184.74
2,1,2025-11-09,139.85
3,1,2025-12-09,173.83
4,1,2026-01-08,150.05
5,2,2025-04-26,101.94
6,2,2025-05-26,86.13
7,2,2025-06-25,178.83
8,2,2025-07-25,195.8
9,2,2025-08-24,137.51
10,2,2025-09-23,156.12
11,2,2025-10-23,164.44
12,2,2025-11-22,183.57
13,2,2025-12-22,119.52
14,2,2026-01-21,156.69
15,3,2025-09-12,193.83
16,3,2025-10-12,240.92
17,3,2025-11-11,108.45
18,3,2025-12-11,158.96
19,3,2026-01-10,149.2
20,4,2025-02-06,715.16
21,4,2025-03-08,558.39
22,4,2025-04-07,642.67
23,4,2025-05-07,710.78
24,4,2025-06-06,866.92
25,4,2025-07-06,731.89
26,4,2025-08-05,927.0
27,4,2025-09-04,671.81
28,4,2025-10-04,701.97
29,4,2025-11-03,1172.7
30,4,2025-12-03,957.42
31,4,2026-01-02,627.34
32,4,2026-02-01,540.39
33,5,2025-02-06,792.33
34,5,2025-03-08,573.55
35,5,2025-04-07,899.95
36,5,2025-05-07,760.58
37,5,2025-06-06,378.02
38,5,2025-07-06,466.36
39,5,2025-08-05,748.43
40,5,2025-09-04,753.31
41,5,2025-10-04,733.97
42,5,2025-11-03,713.69
43,5,2025-12-03,796.68
44,5,2026-01-02,690.08
45,5,2026-02-01,806.13
46,6,2025-10-29,705.52
47,6,2025-11-28,768.51
48,6,2025-12-28,504.52
49,6,2026-01-27,787.48
50,7,2025-02-06,177.55
51,7,2025-03-08,145.15
52,7,2025-04-07,200.16
53,7,2025-05-07,169.63
54,7,2025-06-06,187.02
55,7,2025-07-06,159.28
56,7,2025-08-05,209.97
57,7,2025-09-04,193.04
58,7,2025-10-04,179.57
59,7,2025-11-03,179.01
60,7,2025-12-03,162.74
61,7,2026-01-02,221.28
62,7,2026-02-01,185.94
63,8,2025-07-13,159.04
64,8,2025-08-12,169.17
65,8,2025-09-11,154.49
66,8,2025-10-11,199.76
67,8,2025-11-10,144.8
68,8,2025-12-10,173.5
69,8,2026-01-09,193.37
70,9,2025-02-06,184.19
71,9,2025-03-08,166.04
72,9,2025-04-07,167.07
73,9,2025-05-07,196.64
74,9,2025-06-06,192.11
75,9,2025-07-06,196.97
76,9,2025-08-05,199.23
77,9,2025-09-04,204.33
78,9,2025-10-04,169.74
79,9,2025-11-03,192.26
80,9,2025-12-03,208.7
81,9,2026-01-02,158.71
82,9,2026-02-01,179.0
83,10,2025-02-06,930.52
84,10,2025-03-08,615.76
85,10,2025-04-07,923.77
86,10,2025-05-07,441.12
87,10,2025-06-06,819.08
88,10,2025-07-06,628.63
89,10,2025-08-05,530.48
90,10,2025-09-04,688.85
91,10,2025-10-04,556.97
92,10,2025-11-03,785.19
93,10,2025-12-03,725.19
94,10,2026-01-02,542.27
95,10,2026-02-01,548.8
96,11,2025-08-22,237.19
97,11,2025-09-21,194.11
98,11,2025-10-21,183.13
